,year,bhopal,indore,mumbai,delhi,cochin
0,1901,2.7144,1.5404367,8.32035,1.1180017,8.187444
1,1902,2.8075655,2.0941174,6.955002,1.397658,9.598462
2,1903,3.0859993,3.0971239,7.868491,0.72525597,10.089704
3,1904,2.2110767,1.3020067,5.966153,1.5158153,7.2574787
4,1905,2.4563072,2.136186,4.557234,0.901843,6.658983
5,1906,2.6849918,3.275042,7.026889,2.2746296,7.4157214
6,1907,2.4899879,1.9121395,7.419714,0.9852062,10.02694
7,1908,2.8618736,1.7134463,7.620828,2.151421,7.2603316
8,1909,3.0353274,1.8329014,8.115585,1.8368262,8.044962
9,1910,2.9588544,2.5072596,6.341015,1.6871998,8.740423
10,1911,2.4395854,1.4135123,6.484318,1.6729816,8.370457
11,1912,2.99534,2.0475397,7.4292245,2.0769396,10.29765
12,1913,2.5995343,2.6935341,9.275554,1.4252868,8.008952
13,1914,2.9671478,2.013965,9.111559,2.2732177,8.73435
14,1915,3.583348,2.0805423,6.198542,1.4364339,9.025352
15,1916,3.8034797,3.0622993,7.792053,2.2661777,8.727121
16,1917,4.4535007,3.1498942,10.725838,2.7022219,8.487187
17,1918,2.352068,1.192577,3.3867664,0.5839256,7.1885557
18,1919,4.285904,3.5171258,9.4930725,1.7825348,9.790244
19,1920,2.2300918,2.5998883,5.3929243,1.3462483,8.965242
20,1921,3.397718,2.4546585,8.072169,1.7479919,7.590645
21,1922,2.5764492,2.5644073,7.66864,2.2471805,9.431446
22,1923,4.1785336,2.499908,6.573807,2.1017244,9.595536
23,1924,2.7302408,2.7265482,6.1511064,2.1612535,13.441573
24,1925,2.8769405,1.4369694,5.6784663,1.6574099,7.847075
25,1926,3.7904248,1.7691134,10.533822,2.076628,8.8661785
26,1927,2.8723993,2.1160216,6.785878,1.9101628,8.798304
27,1928,3.5117667,2.982647,7.8471603,0.8560001,7.128513
28,1929,2.4740946,1.8903633,5.756507,1.0780526,9.109883
29,1930,3.1505487,3.3395774,6.93934,1.5762,9.490552
30,1931,3.9170184,2.763423,9.169687,1.6388061,9.467123
31,1932,3.8239381,2.911343,9.092609,1.1203431,8.723593
32,1933,4.0145884,3.7289975,8.051304,3.62718,12.6630745
33,1934,4.468872,3.9111943,8.642331,2.303077,7.019459
34,1935,3.0811846,2.443644,6.741012,1.7715188,7.449847
35,1936,3.8843734,2.4191024,7.0309772,2.2703803,8.615112
36,1937,3.3898897,2.754986,8.326133,1.3825794,10.148724
37,1938,4.248797,3.6070375,8.202849,0.90459114,7.7271347
38,1939,3.4986675,2.2138798,6.019421,1.2397413,9.219426
39,1940,3.7045023,3.2400694,9.372012,1.5992066,9.781405
40,1941,2.4467742,2.3339748,4.865298,1.0298305,9.402301
41,1942,4.010005,2.7974203,8.4748335,2.1724844,9.263856
42,1943,3.1017036,2.5322728,9.600811,1.5420247,9.456199
43,1944,5.4130726,4.2859955,9.709483,2.2023873,7.181507
44,1945,4.2227473,2.5894864,8.925673,1.8894533,7.308356
45,1946,3.9919438,3.7874625,9.082459,1.5742164,10.348643
46,1947,4.6146173,2.634915,8.940496,1.339687,9.529951
47,1948,4.65546,2.9141328,7.7360287,2.222146,8.665939
48,1949,3.2863464,2.765606,9.41771,2.1445665,9.142294
49,1950,3.1547515,2.5004127,7.431602,2.3953352,9.899476
50,1951,1.7527182,1.9157012,6.274671,1.6290638,8.730254
51,1952,2.6183896,1.6141554,7.0317044,1.6304064,6.8851104
52,1953,2.9582024,2.1000304,8.756073,1.2829218,7.938487
53,1954,3.243714,3.744904,11.832447,2.0999248,8.03089
54,1955,4.855752,3.1413734,10.074466,2.279798,9.826009
55,1956,3.1572375,2.2246938,11.3058815,2.2426858,9.195602
56,1957,2.7973332,1.8607221,7.6733327,2.593041,9.749157
57,1958,3.142935,3.2260153,10.904546,2.8185537,8.561312
58,1959,3.829365,4.6461363,10.255955,1.108034,11.24594
59,1960,2.8264263,2.3143244,8.535761,2.1780245,10.25767
60,1961,4.9054894,4.0272098,10.909036,2.5852342,10.976721
61,1962,2.5851982,2.6912518,3.5170383,2.1235762,9.877935
62,1963,2.9849327,2.4963074,9.277609,2.3622332,6.6450105
63,1964,3.8002908,2.4302034,6.581813,3.2115436,8.432137
64,1965,2.9463313,1.1397308,7.925827,1.7021866,7.6401954
65,1966,2.3485687,1.7189074,7.033506,2.3053126,7.595273
66,1967,3.7224681,2.5216784,7.9438577,3.037916,7.9440203
67,1968,2.5110383,2.2645729,6.621395,1.4948334,10.087874
68,1969,4.150012,3.06712,7.9443674,1.8339087,8.984464
69,1970,3.9890866,2.585977,9.173177,1.8438945,7.7084446
70,1971,3.445357,2.7061932,8.692976,1.8217456,8.982217
71,1972,2.5346942,1.9239023,4.757198,1.8630788,8.676973
72,1973,4.506294,5.635824,7.1683793,1.7754364,7.3207765
73,1974,3.2323112,2.341151,7.2266073,1.408477,7.3011475
74,1975,3.3767753,2.8774538,9.51576,3.0290933,10.007446
75,1976,2.53508,3.3385,10.418299,1.8785945,6.5887947
76,1977,4.0177236,2.8294244,9.657299,2.1767092,8.694498
77,1978,3.4069028,2.783165,7.273701,2.7390592,10.097606
78,1979,2.0104082,2.4673538,7.1665287,1.1038764,8.221074
79,1980,2.830347,2.8561406,7.9120717,1.5126336,6.2280765
80,1981,2.5848064,2.9490302,7.169495,1.5017995,6.645412
81,1982,3.5702882,1.9630816,6.1595483,1.8938549,4.4749455
82,1983,3.8703074,2.7629433,10.109046,3.0785005,10.468015
83,1984,3.0525465,2.3550956,7.7758555,1.9931056,6.4874673
84,1985,4.0886307,2.4532423,7.539144,2.0597646,7.314348
85,1986,4.1320143,2.561472,5.5760307,0.85315365,5.474008
86,1987,2.6287098,2.041927,5.9055176,1.105303,6.2132654
87,1988,2.5229454,2.8075576,8.930433,3.2479305,7.866209
88,1989,2.4543405,2.0910032,6.8887086,1.5298256,7.2829356
89,1990,4.233673,3.100075,11.718446,2.5328352,6.322302
90,1991,2.8422554,2.0063126,8.054593,2.0745363,8.853122
91,1992,3.1053312,1.4786673,6.671899,1.6341199,8.82481
92,1993,3.4890723,2.7931085,8.354898,1.9464206,7.863427
93,1994,4.1554666,3.7388637,9.7657385,2.109715,9.984678
94,1995,2.8033261,2.6890204,5.7844095,2.385848,9.638927
95,1996,4.106836,3.4799602,6.593016,2.1561637,7.9868155
96,1997,3.9410195,3.1868052,7.2153187,1.5979546,9.235722
97,1998,3.4788923,2.557834,6.53208,1.893717,9.359126
98,1999,5.313024,2.697598,5.606826,1.1846046,8.588967
99,2000,2.2924879,1.7312282,6.720777,1.5672982,6.643828
100,2001,2.9175632,3.9579265,6.988383,1.5664276,9.496462
101,2002,2.6445608,1.8690974,5.4490976,1.5363481,7.8550906
102,2003,3.1835504,3.232997,8.262901,3.0361922,6.4843516
103,2004,2.718283,2.3283134,7.6933155,1.7115053,8.617227
104,2005,2.4319046,1.7915698,7.611154,1.3832363,9.061463
105,2006,3.8064115,2.7841525,10.475542,1.0560043,12.033875
106,2007,2.0315433,1.2532755,8.339898,0.8384652,10.725624
107,2008,2.4170606,1.860387,8.141893,0.5125885,7.9876866
108,2009,3.3858676,2.994814,5.900624,0.84647703,7.8825145
109,2010,2.073952,2.4727297,9.169642,1.5279555,10.471744
110,2011,3.4938607,3.0277257,9.906822,1.6153231,6.8385625
111,2012,3.242666,2.8333416,6.4503245,1.2404964,4.8452897
112,2013,3.6653152,4.3112383,9.482393,1.836955,9.611488
113,2014,2.54413,2.313974,7.662781,1.0956091,9.539452
114,2015,2.7317405,3.3658183,5.536348,1.7060181,7.749085
115,2016,4.2311125,2.2776709,8.206916,1.3917583,6.013212
116,2017,2.4637096,2.0884027,9.65405,1.2095457,7.7226615
117,2018,2.4167347,2.236919,8.053482,1.0526265,6.437864
118,2019,4.94605,3.932972,12.901561,1.144845,9.154719
119,2020,3.9072506,3.1560457,9.5827055,1.4411077,8.286838
120,2021,2.9999127,2.6438582,10.786095,1.814092,10.708491
